endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1552468983.266	142	139	107	11011	isSuccessful	200
1552468983.331	3983	74	69	6951	isSuccessful	200
1552468983.335	228	75	283	9396	isSuccessful	200
1552468983.343	76	75	289	9398	isSuccessful	200
1552468983.473	141	139	112	11051	isSuccessful	200
1552468983.551	76	75	302	9396	isSuccessful	200
1552468984.320	4370	74	69	6951	isSuccessful	200
1552468984.596	272	140	109	11027	isSuccessful	200
1552468984.738	140	75	284	9396	isSuccessful	200
1552468985.073	3849	73	69	6951	isSuccessful	200
1552468985.482	405	205	111	11043	isSuccessful	200
1552468985.489	6801	74	69	6951	isSuccessful	200
1552468985.623	140	75	287	9394	isSuccessful	200
1552468985.636	144	141	109	11027	isSuccessful	200
1552468985.844	207	76	281	9396	isSuccessful	200
1552468986.206	6942	74	69	6951	isSuccessful	200
1552468986.458	5221	74	69	6951	isSuccessful	200
1552468986.544	337	139	114	11067	isSuccessful	200
1552468986.599	140	138	105	10995	isSuccessful	200
1552468986.917	373	74	289	9394	isSuccessful	200
1552468987.103	503	78	283	9396	isSuccessful	200
1552468988.116	5306	76	69	6951	isSuccessful	200
1552468988.153	4809	74	69	6951	isSuccessful	200
1552468988.257	139	137	115	11075	isSuccessful	200
1552468988.332	75	73	301	9394	isSuccessful	200
1552468988.652	8282	73	69	6951	isSuccessful	200
1552468988.706	552	141	112	11051	isSuccessful	200
1552468988.802	143	141	117	11091	isSuccessful	200
1552468988.849	141	75	306	9396	isSuccessful	200
1552468988.879	75	73	308	9394	isSuccessful	200
1552468989.360	5808	279	69	6951	isSuccessful	200
1552468989.501	139	136	113	11059	isSuccessful	200
1552468989.707	204	74	290	9396	isSuccessful	200
1552468989.893	4048	73	69	6951	isSuccessful	200
1552468990.037	6702	74	69	6951	isSuccessful	200
1552468990.166	271	138	110	11035	isSuccessful	200
1552468990.179	140	138	108	11019	isSuccessful	200
1552468990.306	139	75	298	9394	isSuccessful	200
1552468990.342	162	74	285	9396	isSuccessful	200
1552468991.391	6651	73	69	6951	isSuccessful	200
1552468991.668	268	138	115	11075	isSuccessful	200
1552468991.809	140	74	292	9396	isSuccessful	200
1552468991.906	3573	75	69	6951	isSuccessful	200
1552468992.016	5097	73	69	6951	isSuccessful	200
1552468992.159	142	140	112	11051	isSuccessful	200
1552468992.235	76	74	280	9394	isSuccessful	200
1552468992.242	335	140	114	11067	isSuccessful	200
1552468992.571	328	73	303	9396	isSuccessful	200
1552468992.900	4050	74	69	6951	isSuccessful	200
1552468993.044	141	138	114	11067	isSuccessful	200
1552468993.231	7606	72	69	6951	isSuccessful	200
1552468993.538	494	74	286	9398	isSuccessful	200
1552468993.568	332	139	111	11043	isSuccessful	200
1552468993.706	138	73	291	9394	isSuccessful	200
1552468995.669	6788	73	69	6951	isSuccessful	200
1552468995.815	141	138	109	11027	isSuccessful	200
1552468995.892	77	73	298	9394	isSuccessful	200
1552468996.320	9217	74	69	6951	isSuccessful	200
1552468996.679	6970	73	69	6951	isSuccessful	200
1552468996.732	3026	75	69	6951	isSuccessful	200
1552468996.820	141	139	110	11035	isSuccessful	200
1552468996.957	225	138	113	11059	isSuccessful	200
1552468996.984	162	74	283	9396	isSuccessful	200
1552468997.098	139	74	289	9394	isSuccessful	200
1552468997.112	5302	276	69	6951	isSuccessful	200
1552468997.224	4988	74	69	6951	isSuccessful	200
1552468997.366	142	139	112	11051	isSuccessful	200
1552468997.380	267	137	109	11027	isSuccessful	200
1552468997.441	75	74	287	9396	isSuccessful	200
1552468997.519	139	73	290	9398	isSuccessful	200
1552468997.561	4989	73	69	6951	isSuccessful	200
1552468998.242	680	139	107	11011	isSuccessful	200
1552468998.468	225	75	293	9396	isSuccessful	200
1552468998.476	8169	72	69	6951	isSuccessful	200
1552468998.596	5058	73	69	6951	isSuccessful	200
1552468998.619	143	141	107	11011	isSuccessful	200
1552468998.887	266	73	275	9396	isSuccessful	200
1552468999.433	9091	73	69	6951	isSuccessful	200
1552468999.663	229	137	113	11059	isSuccessful	200
1552468999.934	270	73	290	9398	isSuccessful	200
1552469000.702	4810	74	69	6951	isSuccessful	200
1552469000.966	3868	73	69	6951	isSuccessful	200
1552469001.229	4243	73	69	6951	isSuccessful	200
1552469001.374	141	138	107	11011	isSuccessful	200
1552469001.456	80	76	282	9398	isSuccessful	200
1552469002.119	3650	75	69	6951	isSuccessful	200
1552469002.225	3335	74	69	6951	isSuccessful	200
1552469002.368	141	139	114	11067	isSuccessful	200
1552469002.444	75	73	287	9394	isSuccessful	200
1552469002.642	5200	73	69	6951	isSuccessful	200
1552469003.658	3723	73	69	6951	isSuccessful	200
1552469003.807	140	138	113	11059	isSuccessful	200
1552469003.882	75	73	306	9394	isSuccessful	200
1552469003.922	6400	75	69	6951	isSuccessful	200
1552469004.418	1974	74	69	6951	isSuccessful	200
1552469004.427	2971	73	69	6951	isSuccessful	200
1552469004.559	140	138	113	11059	isSuccessful	200
1552469004.637	77	77	285	9396	isSuccessful	200
1552469005.427	1545	74	69	6951	isSuccessful	200
1552469006.036	1399	74	69	6951	isSuccessful	200
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1552469095.998	283	282	117	11091	isSuccessful	200
1552469096.079	77	75	308	9394	isSuccessful	200
1552469096.253	140	138	113	11059	isSuccessful	200
1552469096.331	77	75	290	9396	isSuccessful	200
1552469096.658	142	140	110	11035	isSuccessful	200
1552469096.738	78	75	298	9394	isSuccessful	200
1552469097.054	141	139	108	11019	isSuccessful	200
1552469097.136	81	81	285	9396	isSuccessful	200
1552469097.455	142	142	115	11075	isSuccessful	200
1552469097.533	77	75	292	9396	isSuccessful	200
1552469097.633	1553	74	69	6951	isSuccessful	200
1552469097.779	145	143	114	11067	isSuccessful	200
1552469097.855	141	138	112	11051	isSuccessful	200
1552469097.917	1586	74	69	6951	isSuccessful	200
1552469098.288	1548	75	69	6951	isSuccessful	200
1552469098.623	1486	75	69	6951	isSuccessful	200
1552469098.877	1344	76	69	6951	isSuccessful	200
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1552469101.419	148	145	117	11091	isSuccessful	200
1552469101.508	81	79	308	9394	isSuccessful	200
1552469101.808	140	139	113	11059	isSuccessful	200
1552469101.886	76	74	290	9396	isSuccessful	200
1552469102.211	142	142	110	11035	isSuccessful	200
1552469102.287	75	74	298	9394	isSuccessful	200
1552469102.607	140	137	108	11019	isSuccessful	200
1552469102.683	75	73	285	9396	isSuccessful	200
1552469103.008	140	138	115	11075	isSuccessful	200
1552469103.067	1557	75	69	6951	isSuccessful	200
1552469103.086	77	75	292	9396	isSuccessful	200
1552469103.213	145	143	114	11067	isSuccessful	200
1552469103.291	77	75	303	9396	isSuccessful	200
1552469103.389	1502	76	69	6951	isSuccessful	200
